source	target
Caps Lock	Caps Lock
Scroll Lock	Scroll Lock
Print Screen	Print Screen
Automatically locking the screen prevents others from accessing the computer while you're away.	Автоматикла аекран аусура амҩакра шәара шәаарӡа акомпиутер ахь анеира ԥнарҟәҟәоит
Automatic Screen _Lock	Автоматикла _аекран аусура аанкылара
_Active Screen Edges	_иактиву аекран аҳәаақәа
_Dynamic workspaces	_Автоматикла аишәақәа анаԥхгара рыҭара
Automatically removes empty workspaces.	Иҭацәу аишәқәа автоматикла ррыцқьара
VPN	VPN
%s (SSID: %s)	%s (SSID: %s)
Autogenerate Password	Ажәамаӡа автоматикла агенерациа азура
Wi-Fi	Wi-Fi
Airplane Mode	Авиарежим
No Wi-Fi Adapter Found	Арнаалагақәа Wi-Fi  ԥшаам
802.1x _Security	_Ашәарҭадара 802.1x
Security	Ашәарҭадара
WEP	WEP
WPA	WPA
WPA3	WPA3
Enhanced Open	Enhanced Open
WPA2	WPA2
IPv4 Address	Аҭыӡҭыԥ IPv4
IPv6 Address	Аҭыӡҭыԥ IPv6
IP Address	Аҭыӡҭыԥ IP
DNS4	DNS4
DNS6	DNS6
DNS	DNS
automatic	Автоматикала
IPv4	IPv4
IPv6	IPv6
LEAP	LEAP
_MAC Address	МАС -А_ҭыӡҭыԥ
M_TU	M_TU
bytes	баит
Automatic (DHCP)	Автоматикалатәи (DHCP)
Addresses	Аҭыӡҭыԥқәа
Address	Аҭыӡҭыԥ
Automatic	Автоматикала
Automatic DNS	Автоматикалатәи DNS
DNS server address(es)	DNS асервис аҭыӡҭыԥ 
Automatic Routes	Автоматикатә хырхарҭақәа
Automatic, DHCP only	Автоматикалатәи DHCP мацара
S_ecurity	_Ашәарҭадара
_SSID	_SSID
_BSSID	_BSSID
IMEI	IMEI
_Configuration URL	URL _ автоматикатә архиарақәа ртәы
More options…	Иҵегь ахышәарақәа...
GTC	GTC
MSCHAPv2	MSCHAPv2
MD5	MD5
PAP	PAP
MSCHAP	MSCHAP
MSCHAPv2 (no EAP)	MSCHAPv2 ( EAP ада)
CHAP	CHAP
TLS	TLS
PWD	PWD
FAST	FAST
Open System	Open System
%i %s %i %s	%i %s %i %s
Battery	Абатареиа
Batteries	Абатареиа
Automatic suspend	Автоматикалатәи аԥшаара арежим
Automatic Screen Brightness	Алашара автоматикла аиҽкаара
Automatic Power Saver	Автоматикла аенергиа аиқәырхара
_Automatic Suspend	_Автоматикалатәи аԥшаара арежим
Automatic Suspend	Автоматикалатәи аԥшаара арежим
_Authenticate	_Ахаҭара ашьақәыргылара
USB	USB
Address: %s	Аҭыӡҭыԥ:%s
Dates	Аамҭарба
_OK	_OK
Device address copied	Аиҿартәыра аҭыӡҭыԥ акопиа ахыхуп
Remote Desktop Address	Иалцоу аусуратә ишәа аҭыӡҭыԥ
Balance	Абаланс
100%	100%
Authorizing	Ахаҭара шьақәыргылара
Authorized at:	Ахаҭара шьақәыргылоуп:
UUID:	UUID:
Authorized	Ахаҭара шьақәыргылоуп
Thunderbolt	Thunderbolt
Repeat Keys	Арыдқәа автоматла реиҭаҟаҵара
Larger	Аду
R_epeat Keys	_Арыдқәа автоматла реиҭаҟаҵара
¼ Screen	¼ аекран ахәҭа
½ Screen	½ аекран ахәҭа
¾ Screen	¾ аекран ахәҭа
Automatically Delete _Trash Content	Акаҵкәыр автоматикла _арыцқьара
Automatically Delete Temporary _Files	Автоматикла иаамҭалатәу _афаилқә рныхра
Administrator	Анаԥхгаҩы
Administrators can add and remove other users, and can change settings for all users. Parental controls cannot be applied to administrators.	Анаԥхгаҩцәа ирылшоит егьырҭ ахархәаҩцәа рныхреи рацҵареи, насгьы ахархәаҩцәа зегьы рзы архиарақәа рыԥсахра.  Анаԥхгаҩцәа рахь аҭаацәаратә хылаԥшра ахархәара заиуӡом.
_Yes	_Ааи
%s — %s	%s — %s
%k:%M	%k:%M
%s, %s	%s, %s
%s — Account Activity	%s- аҳасабрбатә нҵамҭа активра
Logged in	Зхаҭара шьақәыргылоу
A_utomatic Login	Автоматикла а_ҭалара
Account Activity	аҳасабрбатә нҵамҭа активра
_Administrator	_Анаԥхгаҩы
Administrators can add and remove other users, and can change settings for all users.	Анаԥхгаҩцәа ирылшоит егьырҭ ахархәаҩцәа рныхреи рацҵареи, насгьы ахархәаҩцәа зегьы рзы архиарақәа рыԥсахра
APN	APN
<b>Error:</b> Access denied changing settings	<b>Агха:</b> Архиарақәа рыԥсахразы анеира мап ацәкуп
<b>Error:</b> Mobile Equipment Error	<b>Агха:</b> Амобилтә маруга   агха 
2G, 3G, 4G	2G, 3G, 4G
3G, 4G	3G, 4G
2G, 4G	2G, 4G
2G, 3G	2G, 3G
_Automatic	_Автоматикала
SIM %d	SIM %d
No WWAN Adapter Found	Арнаалагақәа WWAN ԥшаам
Enable verbose mode	Аинформациа змоу арежим аҿакра
Abegede	Абегеде
IQTElif	IQTElif
∶	∶
%R:%S	%R:%S
%R	%R
%a %b %-e_%l:%M:%S %p	%a, %-e %B,_%l∶%M∶%S %p
%a %b %-e_%l:%M %p	%a, %-e %B_%l∶%M %p
%b %-e_%l:%M:%S %p	%a, %-e %B_%l∶%M∶%S %p
%b %-e_%l:%M %p	%a, %-e %B_%l∶%M %p
%a %l:%M:%S %p	%a, %l∶%M∶%S %p
%a %l:%M %p	%a, %l∶%M %p
%l:%M:%S %p	%l∶%M∶%S %p
%l:%M %p	%l∶%M %p
Thai	Thai
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
_Sidebar	_Аваратәи апанель
2628	2628
dict.org	dict.org
Untitled document	Ихьӡыдоу адокумент
Power-off Retract Count	Амашәыртә ҿыхрақәа
Offline Seek Performance	Автономла аҭыԥыркра
%.0f° C / %.0f° F	%.0f° C / %.0f° F
%s (%s)	%s (%s)
ID	ID
Attribute	Аҟазшьарбага
%s — %s	%s — %s
%s (%.1f%%)	%s (%.1f%%)
← Spindown	← Аикәшарақәа рырмаҷра
ATA Secure Erase	ATA Secure Erase
ATA Enhanced Secure Erase	ATA Enhanced Secure Erase
MBR / DOS	MBR / DOS
GPT	GPT
<b>Tip</b>: If you are planning to recycle, sell or give away your old computer or disk, you should use a more thorough erase type to keep your private information from falling into the wrong hands	<b>Абжьгара</b>:Шәкомпиутер мамзар шәдиск шәҭиирц шәгәиҭазар, ишәыдаагалоит еиҳа шәацклыԥшны адырракәа анышәхарц, шәхатә дыррақәа ауаа цәгьакәа рнапаҟны иҟамларцазы.
<b>WARNING</b>: The Secure Erase command may take a very long time to complete, can’t be canceled and may not work properly with some hardware. In the worst case, your drive may be rendered unusable or your system may crash or lock up. Before proceeding, please read the article about <a href='https://ata.wiki.kernel.org/index.php/ATA_Secure_Erase'>ATA Secure Erase</a> and make sure you understand the risks	<b>АГӘҼАНҴАРА</b>: Ишәарҭадароу арыцқьара агәыԥ акыраамҭа иадхалар ҟалоит ,апыхрагьы ҟалаӡом,шьоукы-шьоукы  амаругакәа рҟны ари адца ииашаны аус амуозар ҟалоит. Иреицәаӡоу аҭагылазаашьала шәусруга бжьасоит, ипхасҭахоит мамзар асистема аанкылахоит. Иацышәҵаанӡа шәаԥхьа астатиа <a href='https://ata.wiki.kernel.org/index.php/ATA_Secure_Erase'>ATA Secure Erase</a> насгьы агәра шәга, ашәарҭара аҟалара шалшо  атәы шеилышәкаауа.
%s: %2.1f%%	%s: %2.1f%%
Active	Иактиву
%s — %s	%s — %s
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
bytes	баит
Aggressive spin-down may wear out the drive faster than anticipated. Please check the “Start/Stop Count” SMART attribute from time to time	Агрессивтә ааҳәырақәа рларҟәра заанацтәи адиск ахараҟынӡа инанагар алшоит.Аамҭа -аамҭала игәашәҭала  SMART-атрибут ациклқәа ''адәықә./аанкыл''.
A_PM	A_PM
_AAM	_AAM
Auto-clear	Ахаларыцқьара
UUID	UUID
The <b>special device file</b> — use symlinks in the <b>/dev/disk</b> hierarchy to control the scope of the entry	<b>Афаил аиҿартәыра </b>; ахархәара рыҭара азхьарԥшқәа аизакхьӡынҵа <b>/dev/disk</b> аҟынтәи анҵамҭа аконтекст ахархәара аҭаразы.
PI_M	PI_M
%s	%s
%s	%s
%s %g — %g, default %g	%s %g — %g, ишдыру еиԥш %g
, 	, 
Copyright	Аԥҵаҩы изин
yes	Ааи
Alternative Fractions	Альтернативтә фракциақәа
Akhands	Ахандс
Alternate Half Widths	Альтернативтә ибжатоу аҭбаара
Justification Alternates	Аиҟаратәра альтерантива
Alternate Annotation Forms	Аннотациа альтеранативтә формақәа
Trailing Jamo Forms	Trailing Jamo Forms
Alternate Vertical Metrics	Альтернативтә агәҵәылатәи аметрика
Alternate Vertical Half Metrics	Альтернативтә агәҵәылатәи ибжатоу аметрикақәа
Administrator	Анаԥхгаҩы
Avatar image	Аватар
Wi-Fi	Wi-Fi
Automatic Problem Reporting	Ауадаҩрақәа ирызкны автоматикатә  ҳасабырбақәа
%s, %s	%s, %s
%s, %s	%s, %s
UTC%:::z	UTC%:::z
%l:%M %p	%l:%M %p
%R	%R
%s (%s)	%s (%s)
Unnamed	Ихьӡыдоу
SSH Key Agent	Ацаԥхақәа рагент SSH
Automatically unlock this key whenever I’m logged in	Ари ацаԥха автоматикла аужьра асистема аҭалараан
Email Address	Аел. ԥошьҭа аҭыӡҭыԥ
RSA	RSA
DSA	DSA
Unnamed Certificate	Ихьӡыдоу асертификат
Automatically unlock this keyring whenever I’m logged in	Ари ацаԥхақәа реидҳәала автоматикла аужьра асистема аҭыҵраан
Automatically unlock this certificate whenever I’m logged in	Ари асертификат автоматикла аужьра асистема аҭалараан
Automatically unlock whenever I’m logged in	Автоматикла аужьра асистема аҭалараан
          	          
Agatka	Агатка
Shark	Акула
Baltic Sea	Абалтикатәи амшын
American Pie	Америкатәи апирог
Lars Rydlinge (original author)	Lars Rydlinge (апхьатәи аверсиа аԥҵаҩы)
Andrew Sobala	Andrew Sobala
Copyright © 1999-2008 – Lars Rydlinge	Copyright © 1999-2008 – Lars Rydlinge
Copyright © %u-%u – Michael Catanzaro	Copyright © %u-%u – Michael Catanzaro
Copyright © %u-%u – Arnaud Bonatti	Copyright © %u-%u – Arnaud Bonatti
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
Security	Ашәарҭадара
AM/PM	AM/PM
PID	PID
UID	UID
GID	GID
Systemd Unit	Systemd Unit
AM	AM
PM	PM
%I:%M:%S %p	%I:%M:%S %p
%T	%T
%l:%M:%S %p	%l:%M:%S %p
%l:%M %p	%l:%M %p
%H:%M:%S	%H:%M:%S
%H:%M	%H:%M
%s – %s	%s – %s
The GNOME Project	The GNOME Project
Redo	Архынҳәра
There are no more moves.	Аныҟәарақәа рвариантқәа уаҳа ыҟаӡам
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
OK	OK
Date	Аамҭарба
Toggle favorites	Иалкаау аҭыԥқәа  рҿакра, мамзар рҿыхра
Toggle route planner	Апланҟаҵага ахырхарта  аҿакра, мамзар аҿыхра
Toggle route planner	Апланҟаҵага ахырхарта  аҿакра, мамзар аҿыхра
Toggle scale	Амҽхакрбага  аҿакра, мамзар аҿыхра
<span weight="bold" size="x-large">Sign in to edit maps</span>	<span weight="bold" size="x-large">Шәҭала, ахсаалақәа аредакциа рзуразы</span>
<span weight="bold" size="x-large">Signed In</span>	<span weight="bold" size="x-large">ахаҭара шьақәыргылоуп</span>
Toggle visible	Иубарҭоу аҿакра ,мамзар аҿыхра
Buses	Автобусқәа
[FILE…|URI]	[FILE...|URI]
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
Copyright © 2011 – 2022 Red Hat, Inc. and The GNOME Maps authors	Аԥҵаҩы изин © 2011 – 2022 Red Hat, Inc.  GNOME Maps аԥҵаҩцәеи
Address	Аҭыӡҭыԥ
E-mail	E-mail
Contact e-mail address for inquiries. Add only email addresses that are intended to be publicly used.	Адҵааларақәа рзы аҭыӡҭыԥқәа.Зегьы еицырзеиԥшу ахархәаразы  иҟоу аҭыӡҭыԥқәа заҵәык ацышәҵала.
Yes	Ааи
Wi-Fi	Wi-Fi
Bahá’í	Бахаи
%s – %s	%s – %s
%s–%s	%s–%s
%s-%s	%s-%s
%s, %s	%s, %s
%s-%s	%s-%s
%s h	%s h
Enable automatic placing of flags	Аминақәа автоматикла раартра аҿакра
Enable animations	Анимациа аҿакра
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
The GNOME Music developers	Аԥҵаҩы изин © 2018 Аԥшьы Амузыка GNOME аԥҵаҩцәа
Enable ReplayGain	ReplayGain аҿакра
Copyright © 2018 GNOME Music Developers	Аԥҵаҩы изин © 2018 Аԥшьы Амузыка GNOME аԥҵаҩцәа
Last.fm Account	Аккаунт Last.fm
Artists	Анагӡаҩцәа
Albums	Альбомқәа
, 	, 
Multicast:	Multicast:
MTU:	MTU:
0	0
0%	0%
0	0
Active Network Services	Иактиву аҳатә сервисқәа
Domain address	Адомен аҭыӡҭыԥ
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
Copyright © 2003-2008 %s	Аԥҵаҩы изин © 2003-2008 %s
Active	Иактивуп
Multicast:%s	Multicast:%s
MTU:%s	MTU:%s
TTL	TTL
Address	Аҭыӡҭыԥ
IP Address	IP-Аҭыӡҭыԥ
Internet Address	IP-Аҭыӡҭыԥ
Group	Агәыԥ
IP	IP
Enable sounds	Абжьқәа рҿакра
Enable sounds.	Абжьқәа рҿакра
_1	_1
_2	_2
_3	_3
_4	_4
Turn on the sound	Абжьы аҿакра
Sean MacIsaac	Sean MacIsaac
Ian Peters	Ian Peters
Andreas Røsdal	Andreas Røsdal
Guillaume Beland	Guillaume Beland
Iulian-Gabriel Radu	Iulian-Gabriel Radu
Kevin Breit	Kevin Breit
Allan Day	Allan Day
Copyright © 1999-2008 – Sean MacIsaac, Ian Peters, Andreas Røsdal	Copyright © 1999-2008 – Sean MacIsaac, Ian Peters, Andreas Røsdal
Copyright © 2009 – Guillaume Beland	Copyright © 2009 – Guillaume Beland
Copyright © %u-%u – Iulian-Gabriel Radu	Copyright © %u-%u – Iulian-Gabriel Radu
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
_0	_0
_5	_5
_Large	_Аду
Untitled	Ихьӡыдоу
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
Microsoft Exchange	Microsoft Exchange
_E-mail	_E-mail
Fedora	Fedora
Google	Google
E-mail	E-mail
IMAP	IMAP
SMTP	SMTP
Last.fm	Last.fm
Nextcloud	Nextcloud
T_o Do	T_o Do
Microsoft	Microsoft
Automatically find all your pictures	Автоматикла шәыԥшранҵақәа зегьы рыԥшаара
%-d %B %Y	%-d %B %Y
Album	Альбом
Albums	Альбомқәа
No Albums Found	Альбомқәа пшааӡам
%d×%d (%s)	%d×%d (%s)
%s — %s	%s — %s
An album with that name already exists	Ари аҩыза ахьаӡ змоу альбом аԥҵахахьеит
An album for that date already exists	Иарбоу аамҭарбагазы альбом аԥҵоуп
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
Author	Аԥҵаҩы
Author	Аԥҵаҩы
E-Mail	E-Mail
1×1 (Square)	1×1 (Аквадрат)
10×8 / 5×4	10×8 / 5×4
4×3 / 8×6 (1024×768)	4×3 / 8×6 (1024×768)
7×5	7×5
3×2 / 6×4	3×2 / 6×4
16×10 (1280×800)	16×10 (1280×800)
16×9 (1920×1080)	16×9 (1920×1080)
1947	1947
Enable game sounds	Ахәмарра абжьқәа рҿакра
Enable game sounds. Play sounds for various events throughout the game.	Ахәмарра абжьқәа рҿакра.Ахәмарраҟны еиуеԥшым ахҭысқәа раан абжьқәа рҿакра.
_Enable sounds	Абжьқәа _рҿакра
GNOME	GNOME
Wacom stylus absolute mode	Ииашахаҭоу  астилус Wacom арежим
Toggle magnifier	Аекрантә еизырҳага аҿакра, мамзар аҿыхра
Toggle screen reader	 Аекран аҟынтә аԥхьара  аҿакра, мамзар аҿыхра
Toggle on-screen keyboard	Аекрантә рыдыркыра  аҿакра, мамзар аҿыхра
Toggle contrast	Аиҿагылара аҿакра, мамзар аҿыхра
Automatically enable the "power-saver" profile using power-profiles-daemon if the battery is low.	Абатареиа тәаны иҟазар автоматла иаҿанакуеит "Афымцахьчаратә режим"  афымцамч аҷыдахәра асервис ахы иархәаны .
UTC%:::z	UTC%:::z
Airplane mode enabled	Авиарежим аҿакуп
Airplane mode disabled	Авиарежим аҿыхуп
%i %s %i %s	%i %s %i %s
Automatic logout	Автоматикла асистема аҭыҵра
Automatic suspend	Автоматикалатәи аԥшаара арежим
Automatic hibernation	Автоматикалатәи ицәоу арежим
Unminimize	Архынҳәра
GNOME Shell	GNOME Shell
Enable internal tools useful for developers and testers from Alt-F2	Аҭҵааҩцәеи аԥышәара азызуои рзы  Alt-F2 аҟынтәи аҩныҵҟатәи амаругақәа рҿакра 
Automatic location	Автоматикла ҭыԥс аҟазаара  аилкаара
Enable edge tiling when dropping windows on screen edges	Аԥенџьырқәа аекран акьыԥшь ахь реиҭагараан автоматикла аԥенџьыр ашәагаа аҽаԥсахра аҿакра.
%H∶%M	%H∶%M
%A, %H∶%M	%A, %H∶%M
%B %-d, %H∶%M	%-d %B, %H∶%M
%B %-d %Y, %H∶%M	%-d %B %Y, %H∶%M
%l∶%M %p	%-l∶%M %p
%A, %l∶%M %p	%A, %-l∶%M %p
%B %-d, %l∶%M %p	%-d %B, %l∶%M %p
%B %-d %Y, %l∶%M %p	%-d %B %Y, %l∶%M %p
Hotspot Login	Анеира аҭыԥ аҟны ахаҭара шьақәыргылара
6	6
%OB	%OB
%OB %Y	%OB %Y
%d	%d
PIN	PIN
Administrator	Анаԥхгаҩы
Logged in as a privileged user	Ахаҭара шьақәыргылоуп аԥыжәара змоу хархәаҩҵас 
Bluetooth	Bluetooth
<unknown>	<еилкаам>
Turn On Wi-Fi	 Wi-Fi аҿакра
activating…	Активациа...
VPN	VPN
%d %%	%d %%
Thunderbolt	Thunderbolt
%d × %d	%d × %d
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
URL	URL
Usage:	Ахархәара:
Automatically download and install updates	Арҿыцрақәа автоматикла рҭагалареи  рықәыргылареи
Whether to automatically refresh when on a metered connection	Автоматикла аҿыцрақәа рҭагалара алимиттә еимадараан
Alcohol	Арыжәтә
Gambling	Алахаларатә хәмаррақәа
%s • %s	%s • %s
?	?
%s (%s)	%s (%s)
%s %s	%s %s
ID	ID
Copyright © 2016–2022 GNOME Software contributors	Аԥҵаҩы изин © 2016-2022 Апрограмматә еиқәыршәара  GNOME аҟаҵаҩцәа
; 	; 
Enable and Install	Аҿакреи ашьақәыргылареи
%s %s	%s %s
, 	, 
Automatic Updates Paused	Автоматикатә рҿыцрақәа аамҭала иаанкылоуп
URL	URL
Automatic Updates	Автоматикатә рҿыцрақәа
Automatic Update Notifications	Автоматикала арҿыцрақәа рырдырра 
%s • %s	%s • %s
Yes	_Ааи
Safety	Ашәарҭадара
SDK	SDK
%s…	%s…
Up to Date	Иактуалу
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
_Active Processes	Иактиву апроцессқәа
<small><i><b>Note:</b> The priority of a process is given by its nice value. A lower nice value corresponds to a higher priority.</i></small>	<small><i><b>Азгәаҭа:</b> априоритет аԥыжәара арбахоит амамкра афактор (nice)ала. Иреиҵӡоу аҵакы «nice» иашьашәоит  еиҳау апыжәара </i></small>
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
?	?
%.0f %%	%.0f %%
%.1f%%	%.1f%%
PID	PID
Inode	Inode
FD	FD
ID	ID
%s (PID %u)	%s (PID %u)
%uw%ud	%uw%ud
%ud%02uh	%ud%02uh
%u:%02u:%02u	%u:%02u:%02u
%u:%02u.%02u	%u:%02u.%02u
Credits	 Аҭабурақәа
Creators	Аԥҵаҩцәа
Documenters	Адокументқәа раԥҵаҩцәа
Turn on the sound	Абжьы аҿакра
3 × 31 minute	3 × 3        1 минуҭк
4 × 45 minutes	4 × 4        5 минуҭк
5 × 515 minutes	5 × 5        15 минуҭ
4 × 43 minutes	4 × 4        3 минуҭк
5 × 55 minutes	5 × 5        5 минуҭк
Abelard (Wikimedia)	Abelard (Wikimedia)
Alvesgaspar (Wikimedia)	Alvesgaspar (Wikimedia)
Mueller-rech.muenchen (Wikimedia)	Mueller-rech.muenchen (Wikimedia)
Ruskis (Wikimedia)	Ruskis (Wikimedia)
Toyah (Wikimedia)	Toyah (Wikimedia)
Arnaud Bonatti	Arnaud Bonatti
Copyright © %u-%u – Arnaud Bonatti	Copyright © %u-%u – Arnaud Bonatti
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
org.gnome.Terminal.Nautilus	org.gnome.Terminal.Nautilus
org.gnome.Nautilus.desktop	org.gnome.Nautilus.desktop
GPL-3.0+ or GFDL-1.3-only	GPL-3.0+ ма мацара GFDL-1.3
GPL-3.0+	GPL-3.0+
https://wiki.gnome.org/Apps/Terminal	https://wiki.gnome.org/Apps/Terminal
GNOME	GNOME
https://wiki.gnome.org/Apps/Terminal/ReportingBugs	https://wiki.gnome.org/Apps/Terminal/ReportingBugs
gnome-terminal	gnome-terminal
org.gnome.Terminal.desktop	org.gnome.Terminal.desktop
https://help.gnome.org/users/gnome-terminal/stable/figures/gnome-terminal.png	https://help.gnome.org/users/gnome-terminal/stable/figures/gnome-terminal.png
HiDpiIcon	HiDpiIcon
HighContrast	HighContrast
ModernToolkit	ModernToolkit
SearchProvider	SearchProvider
UserDocs	UserDocs
'Unnamed'	Ихьӡыдоу'
Tango	Tango
Linux console	Linux console
XTerm	XTerm
Rxvt	Rxvt
Solarized	Solarized
Automatic	Автоматикла
Control-H	Control-H
ASCII DEL	ASCII DEL
Enable the _menu accelerator key (F10 by default)	Амениу ахь анеиразы иласу арыд  _аҿакра(ишыҟоу еиԥш -«F10»)
Enable _SIXEL images	 _SIXEL асахьақәа рҿакра
Armenian	Аермантә
Georgian	қырҭтәылатәи
Arabic	Арабтәи
Baltic	Абалтикатә
_Wrap around	_Автоматикла алагамҭахь аиасра
_1. 80×24	_1. 80×24
_2. 80×43	_2. 80×43
_3. 132×24	_3. 132×24
_4. 132×43	_4. 132×43
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
_2 × 2	_2 × 2
_3 × 3	_3 × 3
_4 × 4	_4 × 4
_5 × 5	_5 × 5
_6 × 6	_6 × 6
Lars Rydlinge	Lars Rydlinge
Robert Ancell	Robert Ancell
Rob Bradford	Rob Bradford
Copyright © %u-%u – Lars Rydlinge	Copyright © %u-%u – Lars Rydlinge
Copyright © %u-%u – Arnaud Bonatti	Copyright © %u-%u – Arnaud Bonatti
%uh %um %us	%uh %um %us
%um %us	%um %us
%us	%us
%.0fs	%.0fs
%.1fs	%.1fs
%.2fs	%.2fs
%.3fs	%.3fs
Date	Аамҭарба
%u × %u	%u × %u
Auto Indent	Автоматикалатәи ахьаҵ
Automatically indent new lines copying the previous line's indentation.	Автоматла ацәаҳәа ҿыцқәа рзы ахьаҵ ҟаҵалатәуп, уаанӡатәи ацәаҳәа ахьаҵ хҩылааны.
Automatically check spelling	Автоматикла аиашаҩыра агәаҭара
translator-credits	Ser82-png <asvmail.as@gmail.com>, 2022
%s (Administrator)	%s(Анаԥхгаҩы)
_Automatic Indentation	_Автоматикалатәи ахьаҵ
2	2
4	4
6	6
8	8
Discover Document Settings	Адокумент автоматикла архиарақәа  рышьақәыргылара
Untitled Document	Ихьӡыдоу адокумент
Unix/Linux (LF)	Unix/Linux (LF)
Mac OS Classic (CR)	Mac OS Classic (CR)
Windows (CR+LF)	Windows (CR+LF)
Automatically Detected	Ахала аилкаара
_2	_2
_4	_4
_6	_6
_8	_8
Enchant 2	Enchant 2
Copyright © 2015–2020 The Endeavour authors	Copyright © 2015–2020 Аԥшьы To Do аԥҵаҩцәа
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
%1$s  <small>%2$s</small>	%1$s  <small>%2$s</small>
Google	Google
ownCloud	ownCloud
Microsoft Exchange	Microsoft Exchange
Archived	Архивтәра азуп
Archive	Архивтәра
Todoist	Todoist
Todoist: %s	Todoist: %s
<b>Warning!</b> Todo.txt support is experimental and unstable. You may experience instability, errors and eventually data loss. It is not recommended to use Todo.txt integration on production systems.	<b>Шәгәышәҽаныз</b> Адкылара Todo.txt иԥышшәагоуп насгьы иҭышәынтәалоуп.Ишәԥылар рылшоит агхақәа, адыррақәа шәцәыӡыргьы ҟалоит. Ишәабжьаҳгоит  Todo.txt ахархәара ашәымҭаларц аусуратә системақәа рҟны.
Todo.txt	Todo.txt
GNOME Shell	GNOME Shell
GTK	GTK
<i>Default</i>	<i>Ишыҟоу еиԥш</i>
Startup Applications	Автоматла аусура
<primary>f	<primary>f
Date	Аамҭарба
HiDPI	HiDPI
Wacom	Wacom
%s <i>(default)</i>	%s <i>(ишыҟоу еиԥш)</i>
%l∶%M %p	%l∶%M %p
translator-credits	Нанба Наала <naala-nanba@rambler.ru>, 2022
%s / %s	%s / %s
%s, %s	%s, %s
Albums	Альбомқәа
Artists	Анагӡаҩцәа
Freebox TV	Freebox TV
Enable sticky keys	Иҷабу арыдқәа рҿакра
Automatically update timezone	Асааҭтә зона автомтикла аԥсахра
Enable Toolkit Accessibility	Иҷыдоу алшарақәа рмаруга аҿакра
Enable Animations	Анимациа аҿакра
Whether to automatically open a folder for automounted media	Аныҟәгага автоматикла иаҿаку азы автоматикла атаӡ аартара
Enable sound alerts	Абжьытә сигналқәа  рҿакра
Activate the window menu	Активациа азура аԥенџьыр амениу
Automatically raises the focused window	афокус змоу  аԥенџьыр  автоматикла аԥхьатәи аплан ахь аиҭагара
Enable Visual Bell	Лаԥшылатәи асигнал аҿакра
BackSpace	BackSpace
Tab	Tab
Return	Return
Pause	Pause
Escape	Escape
Home	Home
End	End
Begin	Begin
Print	Print
Insert	Insert
Delete	Delete
Battery	Абатареиа
Forward	Ԥхьаҟа
WLAN	WLAN
Activate	Активациа азура
Activates the cell	Активациа азнауеит абларҭа
Activates the color	Активациа азнауеит аԥштәы
Activates the entry	Активациа азнауеит анҵамҭа
Activates the expander	Активациа азнауеит  експандер
_CD-ROM	_CD-ROM
_Forward	_Ԥхьаҟа
_Forward	_Ԥхьаҟа
_Redo	Ар_хынҳәра
abcdefghijk ABCDEFGHIJK	абвггьгә АБВГГЬГӘ  бвгде АБВГДЕ abcde ABCDE
_OK	_OK
%d	%d
_Yes	_Ааи
BSD 2-Clause License	BSD 2-Clause License
The MIT License (MIT)	The MIT License (MIT)
Artistic License 2.0	Artistic License 2.0
BSD 3-Clause License	BSD 3-Clause License
Mozilla Public License 2.0	Mozilla Public License 2.0
C_redits	 _Аҭабурақәа
Created by	Аԥҵаҩы
Shift	Shift
Ctrl	Ctrl
Alt	Alt
Super	Super
Hyper	Hyper
Meta	Meta
Backslash	Backslash
calendar:MY	calendar:MY
2000	2000
%d	%d
%d	%d
%Y	%Y
%d %%	%d %%
White	Ашкәакәа
Alpha	Альфа
default:mm	default:mm
%1$s on %2$s	%1$s аҟны %2$s
%H:%M	%H:%M
%l:%M %p	%l:%M %p
%-e %b	%-e %b
Sans 12	Sans 12
default:LTR	default:LTR
_Yes	Ааи
_PIM	_PIM
Bourne Again Shell	Bourne Again Shell
Bourne Shell	Bourne Shell
Z Shell	Z Shell
AppleTalk	AppleTalk
WebDAV	WebDAV
%.0f %%	%.0f %%
_%d. %s	_%d. %s
%d. %s	%d. %s
L	L
R	R
%d %%	%d %%
ID	ID
Unnamed section	Ихьӡыдоу аҟәша
Address	Аҭыӡҭыԥ
%p (%s)	%p (%s)
XSettings	XSettings
Attribute	Аҟазшьарбага
Yes	Ааи
Animations	Анимациа
CSS	CSS
