source	target
Disk Usage Analyzer can scan specific folders, storage devices and online accounts. It provides both a tree and a graphical representation showing the size of each folder, making it easy to identify where disk space is wasted.	Адискқәа ранализҟаҵага азин амоуп хазытәи аҭаӡқәа рықәҭыхра, аиқәырхара аиҿыртәырақәа насгьы аҳасабырбатә нҵамҭақәа рықәҭыхра.Еиқәнаршәоит аграфикатә аарԥшра ,насгьы ҵлаҵас аарԥшра, аҭаӡцыԥхьаӡа ашәагаа шәзырбо , уи ишәнаҭоит алшара имарианы адиск аиужьра ахьыӡо ашьақәыргылара.
Disk Usage Analyzer	Адиск ахархәара анализҟаҵага
Display	Авидео
Display	Аԥшра
_Do not show this dialog again	_Ари ааиҿцәажәара уаҳа  иаарԥштәым
Do not show this message again	Ари ацҳамҭа уаҳа  иаарԥштәым
Do not _show this wizard again	Ари ацхырааҩ уаҳа  даарԥштәым
Don’t Warn Again	  Уаҳа  агәҽанымҵара
Dotless Forms	Икәаԥдоу аформақәа
Dotless Forms	Ицәаҳәеимҟьадоу Аформақәа
dotless %s	%s  кәаԥда
Do you want to continue?	Иацышәҵар шәҭахума?
Do you want to detach event from the series?	Ишәҭахума шәара ахҭыс асериа аҟынтә аҿыгара ? 
Do you want to reload this website?	Ари асаит  еиҭаҿашәкыр  шәҭахума?
Do you want to use GTK Inspector?	Шәхы иашәырхәар шәҭахума GTK Inspector?
Drop marble	Ампыл аршәра
dropped data	икажьу адыррақәа
Dropped Text.txt	Икажьу Текст.txt
Drop	Аршәра
DSL authentication	Ахаҭареилкаара DSL
Duration	Аамҭа
During a game	Ахәмарра аан
During game selection	Ахәмарра алхраан
DVD-R dual layer	DVD-R DL
Dynamic column header cleared.	Аамҭалатәи аиҵаргыла ахы рыцқьоуп.
Dynamic row header cleared.	Аамҭалатәи ацәаҳәа ахы рыцқьоуп.
East Amazonas	Амрагыларатәи Амазонас
Eastern Congo	Амрагыларатәи Конго
Eastern Greenland	Амрагыларатәи Гринландиа
Eastern Kazakhstan	Амрагыларатәи Казахстан
Eastern Mongolia	Амрагыларатәи Монголиа
Eastern Time (Queensland)	Амрагыларатәи  аамҭа(Квинсленд)
Eastern Time (Tasmania)	Амрагыларатәи  аамҭа (Тасманиа)
Eastern Time (Victoria)	Амрагыларатәи  аамҭа(Викториа)
Eastern Time	Амрагыларатәи  аамҭа
east	амрагыларатәи
East	Амрагыларатәи
%-e %b	%-e %B
%-e %b %H:%M	%-e %b. %H:%M
%-e %b %l:%M %p	%-e %b. %l:%M %p
%-e %b %Y	%-e %b. %Y
%-e %b %Y	%-e %B %Y
%e %B %Y	%e %b. %Y
%e %B %Y	%e %b., %Y
%-e %b %Y %H:%M	%-e %b. %Y %H:%M
%-e %b %Y %l:%M %p	%-e %b. %Y %l:%M %p
%e %B %Y, %R	%-d %B %Y, %R
Eight Off	аабақәа рыда
Embedded NUL byte in conversion input	Абаит  NUL аҵакы змоу аҭаларатә аиҭакра ззухо  дыррақәа рҟны
Embedded NUL byte in conversion output	Абаит  NUL аҵакы змоу аҭыҵратә аиҭакратә дыррақәа рҟны
Emojis	Emoji
enabled	Иаҿакуп
_Enabled	_Иаҿакуп
Enabled	Иаҿакуп
English (_US-ASCII)	Англыз(_US-ASCII)
Entire Journal	Ажурнал зегьы
ESlint	ESLint
Evening	ахәылбыҽха
Exec Arguments	Адәықәҵара аҵаҵӷәқәа
Exiting learn mode.	Аҭҵаара арежим аҟынтә аҭыҵра 
Exiting list notification messages mode.	 ардыррақәа  рыхьӡынҵа аҟынтә аҭыҵра
E	Аҟны
File &amp; Link Associations	Афаилқәеи азхьарԥшқәеи реидгыла
File Chooser Attributes	Афаил алхра аҟазшьарбагақәа
File & Link Associations	Афаилқәеи азхьарԥшқәеи реидгыла
Firmware attestation	Аҭаӡахра аттестациа азура
Flying Height	Ашьҭԥраара аҳаракыра
Font Button Attributes	Ашрифт змоу апытҟәыр аҟазшьарбагақәа
Font Chooser Attributes	Ашрифт алхра аҟазшьарбагақәа
Forever	Еснагь
Framework version	Фреимворк аверсиа
_Fullscreen	_Аекран зегьы иҭаӡо
Fullscreen	Аекран зегьы иҭаӡо
Gay Gordons	Илахҿыху Агордонқәа
GL Version	Аверсиа GL
GMR Head Amplitude	Амплитуда GMR-ахы
gnome-disk-utility %s UDisks %s (built against %d.%d.%d)	gnome-disk-utility %s UDisks %s (аизга %d.%d.%d аҟынтә)
GNOME version (1998):	Аверсиа GNOME (1998):
GNOME Version	Аверсиа GNOME
GNU Affero General Public License, version 3 or later	GNU Affero General Public License, аверсиа 3 мамзар еиҳа ихьшәоу
GNU General Public License, version 2 or later	GNU General Public License, аверсиа 2 мамзар еиҳа ихьшәоу
GNU General Public License version 3 or later	GNU General Public License аверсиа 3 мамзар еиҳа ихьшәоу
GNU General Public License, version 3 or later	GNU General Public License, аверсиа 3 мамзар еиҳа ихьшәоу
GNU General Public License version 3 or later	GNU General Public License аверсиа 3 мамзар еиҳа иҿыцу
GNU General Public License version 3 or later	GNU General Public License аверсиа 3 мамзар еиҳа иҿыцу 
GNU Lesser General Public License, version 2.1 or later	GNU Lesser General Public License, аверсиа 2.1 мамзар еиҳа ихьшәоу
GNU Lesser General Public License, version 3 or later	GNU Lesser General Public License, аверсиа 3 мамзар еиҳа ихьшәоу
greater than	 Еиҳа еиҳауп
greater	еиҳаны
Grid Attributes	Аихыршь аҟазшьарбагақәа
Grid view	Аихыршь аԥшра аҭаны
Gross Profit Margin	Азеиԥш хашәалахәы
GTK Version	Аверсиа GTK
%g%t%m%t%f	%d%t%g%t%m%t%f
Hardware address:%s 	Аппараттә ҭыӡҭыԥ:        %s
Hardware address:	Аппараттә ҭыӡҭыԥ:  
Hardware Address	Аппараттә ҭыӡҭыԥ
Hardware Airplane Mode is On	Аппараттә авиарежим аҿакуп
Hardware Airplane Mode	Аппараттә авиарежим
Hardware ECC Recovered	Аппараттә ариашара
Have you ever encountered a bug?	Ишәыхьхьома шәара зныкыр агха?
Headerbar Attributes	Апанель ахы аҟазшьарбагақәа
Height (in pixels) of the window.	Аԥенџьыр аҳаракыра пиксельла
Height of assistant window	Ацхырааҩ иԥенџьыр аҳаракыра
Height of main window	Ихадоу аԥенџьыр аҳаракыра
Height of the window in pixels	Аԥенџьыр аҳаракыра пиксельла
Height of the window in pixels.	Аԥенџьыр аҳаракыра пиксельла
Height of the window	Аԥенџьыр аҳаракыра
Height property	Аҳаракыра
height	Аҳаракыра
_Height	_Аҳаракыра
_Height:	_Аҳаракыра:
Height	Аҳаракыра
Height: 	Аҳаракыра:
HEIGHT	АҲАРАКЫРА
Hitori Website	Веб-асаит Хитори
honeydew	амускаттә шьынка шкәакәа
HTML bookmarks database could not be parsed: %s	Агәылаҵақәа  HTML рдыррақәа рбаза аимыхра ауам    : %s
Hungarian 8 dot computer	Венгриатәи 8- кәаԥкны иҟоу акомпиутер
Hungarian Forint	Венгриатәи афоринт
Hungarian Grade 1	Венгриатәи аҩаӡара 1
Hungarian Grade 2	Венгриатәи аҩаӡара 2
Hungary	Венгриа
Icon View Attributes	Адыргаҷа адгалара аҟазшьарбагақәа
Icon View	Адыргаҷақәа  рыԥшра рыҭаны
Idle	Аус ауӡом
Important Messages	Ихадоу
Important	Акырзҵазкуа
Important	Ихадоу
Inbox	Иаашьҭу
Includes %s, %s and %s.	%s, %s насгьы %s алаҵаны
Incoming	Иаашьҭу
IndexedDB databases	Адыррақәа рбаза IndexedDB
infinity	аҳәаадара
initial temporary item	Аамҭалатәи аелемент аҭагылазаашьа арбаразы
In Process	Апроцесс аҟны
In Progress	Апроцесс аҟны
input	Аҭалара
Input	Аҭалара
introduction	алагалара
Intro	Алагалара
is greater than or equal to	Еиҳаны ма еиҟараны
is greater than	 Еиҳа еиҳауп
ISO Speed	ISO
jack of clubs	валет треф
jack of diamonds	валет бубен
jack of hearts	Афурҭ агәыҟаԥшь
jack of spades	валет пик
jack	валет
Johnston Atoll (Hawaii Time)	Атол Джонстон (Гаваиатәи аамҭа)
JOKER	JOKER
Justification Alternates	Аҵаҵӷәыркра авариантқәа
J	аҟны
('', 'KNYC', nothing)	('', 'UUEE', nothing)
KP_Right	Арӷьарахь(кеипад)
_Large (20 × 15)	_Удуу (20 × 15)
Large Photo	Идуу аԥшранҵа
Large Toolbar	Амаругақәа рпанель  ду
Large	Идуу
Last month	Иаҳхысыз амз азы
Last year	Иаҳхысыз ашықәс азы
LCD (white LED backlight)	LCD (ишкәакәоу LED-арлашара)
Leading Jamo Forms	Ихадоу аформа Jamo
Leading Jamo Forms	Ихадоу аформа Джамо
leaving abstract.	аннотациа аҟынтә аҭыҵра.
leaving acknowledgments.	 Аҭабурақәа рыхьӡынҵа аҟынтә аҭыҵра
leaving afterword.	ашьҭахьажәа аҟынтә аҭыҵра
leaving appendix.	аԥшьы аҟынтә аҭыҵра
leaving banner.	абаннер аҟынтә аҭыҵра.
leaving bibliography.	абиблиогриа аҟынтә аҭыҵра.
leaving blockquote.	ацитатаагара аидкыла аҟынтә аҭыҵра.
leaving chapter.	ахы  аҟынтә аҭыҵра
leaving colophon.	аҭыҵратә дыррақәа рҟынтә аҭыҵра
leaving complementary content.	иацҵоу аҭаҵа аҟынтә аҭыҵра
leaving conclusion.	анҵәамҭа аҟынтә аҭыҵра.
leaving credits.	агәаларашәарақәа рҟынтә аҭыҵра
leaving credit.	агәаларашәара аҟынтә аҭыҵра
leaving dedication.	ахьӡынҩылара аҟынтә аҭыҵра
leaving endnotes.	анҵәамҭаҭә лбаагақәа  рҟынтә аҭыҵра.
leaving epigraph.	аепиграф аҟынтә аҭыҵра
leaving epilogue.	 аҵыхәтәажәа аҟынтә аҭыҵра
leaving errata.	агхақәа рыхьӡынҵа  аҟынтә аҭыҵра
leaving example.	аҿырԥштәы аҟынтә аҭыҵра 
leaving feed.	Алента аҟынтә аҭыҵра
leaving figure.	асахьа аҟынтә аҭыҵра 
leaving foreword.	аԥхьажәа аҟынтә аҭыҵра
leaving form.	аформа аҟынтә аҭыҵра
leaving glossary.	глоссари аҟынтә аҭыҵра
leaving index.	арбага аҟынтә аҭыҵра
leaving information.	Адыррақәа рҟынтә аҭыҵра 
leaving introduction.	аҭагалара  аҟынтә аҭыҵра
leaving list.	ахьӡынҵа аҟынтә аҭыҵра
leaving main content.	ихадоу аҭаҵа  аҟынтә аҭыҵра
leaving navigation.	ахырхарҭарбара  аҟынтә аҭыҵра
leaving page list.	 адаҟьақәа рыхьӡынҵа аҟынтә аҭыҵра
leaving panel.	апанель аҟынтә аҭыҵра
leaving part.	ахәҭа  аҟынтә аҭыҵра
leaving preface.	алагалажәа аҟынтә аҭыҵра.
leaving prologue.	алагалажәа аҟынтә аҭыҵра.
leaving pullquote.	ацитата аҟынтә аҭыҵра
leaving QNA.	азҵаарақәеи аҭакқәеи рҟынтә аҭыҵра.
leaving region.	аҵакыра аҟынтә аҭыҵра
leaving search.	аԥшаара аҟынтә аҭыҵра
leaving suggestion.	Ахеилак алҵра
leaving table of contents.	аҵакы аҟынтә аҭыҵра
leaving table.	аҭаӡҩыра аҟынтә аҭыҵра
Legacy BIOS _Bootable	_Legacy BIOS Bootable
Length	Аамҭа
Letters & Symbols	Анбанқәеи асимволқәеи
Letters	Анбанқәа
Level Bar Attributes	Апанель аҩаӡара аҟазшьарбагақәа
Libraries	Абиблиотекақәа
Library	Абиблиотека
List view	Ахьӡынҵа аԥшра аҭаны
_List View	Ахьӡынҵа_аԥшра аҭаны
List View	Ахьӡынҵа аԥшра аҭаны
_Login	_Аҭалара
Login	Аҭалара
Log Out %s	 %s ахархәаҩ иҭыҵра
Manual (via Actions menu)	Напыла (амениу  Аҟаҵара аҟынтә)
Manual	Напыла
Marietta	Mариетта
%m/%d	%d/%m
%m/%d/%y	%d.%m.%y
Meaningless key/value pair combination in address entry “%s”	Иҵакыдоу аилаҵа ацаԥха/ аҵакы аҭыӡҭыԥ «%s» аелемент аҟны
Media whitepoint	Аныҟәгага акәаԥ шкәакәа
MEI version	Аверсиа MEI
Menu Attributes	Амениу аҟазшьарбагақәа
Message Dialog Attributes	Аиҿцәажәара ацҳамҭа аҟазшьарбагақәа
Message Thread	Анҵамҭа амахә
Midway Atoll (Samoa Time)	Атолл Мидвей (Самоанатәи аамҭа)
Model Button Attributes	Амодель апытҟәыр аҟазшьарбагақәа
'Monospace 12'	«Monospace 12»
more information	Еиҳаны аинформациа
More Than	 Еиҳа еиҳауп
More	Еиҳаны
M_ost	_Еиҳарак
Most	Еиҳарак
Move right	Арӷьарахь
MTU:%s 	MTU:%s 
Multicast:%s 	Multicast:%s 
Multi_key	Multi key
[ {'name': <'DuckDuckGo'>, 'url': <'https://duckduckgo.com/?q=%s&t=epiphany'>, 'bang': <'!ddg'>}, {'name': <'Google'>, 'url': <'https://www.google.com/search?q=%s'>, 'bang': <'!g'>}, {'name': <'Bing'>, 'url': <'https://www.bing.com/search?q=%s'>, 'bang': <'!b'>} ]	[ {'name': <'DuckDuckGo'>, 'url': <'https://duckduckgo.com/?q=%s&t=epiphany'>, 'bang': <'!ddg'>}, {'name': <'Google'>, 'url': <'https://www.google.com/search?q=%s'>, 'bang': <'!g'>}, {'name': <'Bing'>, 'url': <'https://www.bing.com/search?q=%s'>, 'bang': <'!b'>} ]
navajo white	навахо шкәакәа
Navan	Ан-Уавь
Networks	Аҳа аҿы
No change	Ԥсахрада
No Desktop Background	Аусуратә ишәа адыԥшылахә ада
No Effect	Еффектда
No encryption	Ашифрркрада
No files in archive	Архив аҟны афаилқәа ыҟаӡам
No Filesystem	Афаилтә система ада
No grouping	аидыргәыԥларада
_No Image	_Сахьада
no justification	риашарада
No Label	Дыргада
No license	Лицензиада
No limit	Ԥкрада
No longer in use.	Уаҳа ахархәара аиуӡом.
No name	Хьӡыда
None - distributed internally	Лицензиада-аҩныҵҟатәи аҭаххарақәа рзы
no password	Ажәамаӡада
No Preference	Аиӷьашьарақәа рыда
No pre-filtering	Заанаҵтәи араӡарада
No problems have been detected with your connection.	Шәара шәеиԥшьырҭа аҟны апроблемақәа ԥшааӡам.
No profile	Аҷыдахәрада
No protection when the device is started.	Аиҿыртәара аҿакраан хьчарада
No Protection	Хьчарада
No proxy	Прокси ада
No redeals	Аиҭаҭарақәа рыда
No tab popup	Ицәырҵуа аҭаӡҩырартәрада
Notebook Attributes	Анҵамҭа шәҟәы аҟазшьарбагақәа
Not sorted	Аилыԥшаарада
Not tagged, file is not indexed	Дыргада, афаил аиндексркра азуӡамызт
No wireless available	Иҭелдоу аҳақәа ԥшааӡам
Num_Lock	Num Lock
On, fired	Иаҿакуп, аус ауит
Online	Аҳа аҿы
On This Computer A_rchive folder:	Архивтә ҭаӡ 'Ари акомпиутер аҟны'
on	иаҿакуп
On	Иаҿакуп
Out of paper	Ақьаад нҵәеит
output %s does not support mode %dx%d@%dHz	аҭыҵра %s иаднакылом арежим %dx%d@%dГц
Output	Аҭыҵра
Out	Аҭыҵра
Page_Down	Page Down
Page_Up	Page Up
Pansy	Адәыкрын
Paper	Ақьаад
partial fog	аамҭала анаҟә хылоит
Partial fog	Аамҭала анаҟә хылоит
PCRE library is compiled with incompatible options	Абиблиотека PCRE еизгоуп еимарам ахышәарақәа рыла
PCRE library is compiled without UTF8 properties support	Абиблиотека PCRE еизгоуп UTF-8 аҷыдаҟазшьақәа рмаҵурада
PCRE library is compiled without UTF8 support	Абиблиотека PCRE еизгоуп UTF-8 амаҵурада
PEAP _version	_Аверсиа PEAP
Permanently remove this folder	Ари аҭаӡ ихнымҳәуа  аныхра
Pick up and drop cards by clicking	Ақәыӷәӷәара ацхыраарала амацақәа ргара, мамзар рықәҵара  
Pixel Bytes	Апиксельқәа рбаитқәа
Places Sidebar	Аҭыԥ аваратәи апанель
PNG (lossless)	PNG (ахаҭабзиараҟны ацәыӡрақәа рыда)
Popover Attributes	Ихыло аелемент аҟазшьарбагақәа
prc3 Envelope	prc3
Print at	Аамҭа
Printer “%s” has no toner left.	Апринтер «%s» аҟны атонер нҵәеит
Printer “%s” is low on a marker supply.	Апринтер «%s» аҟны иԥштәылоу ашәыгаҭра анҵәара иаҿуп
Printer “%s” is low on at least one marker supply.	Апринтер «%s» аҟны атонерқәа руак анҵәара иаҿуп
Printer “%s” is low on developer.	Апринтер «%s» аҟны аарԥшыга анҵәара иаҿуп
Printer “%s” is low on paper.	Апринтер «%s» аҟны ақьаад анҵәара иаҿуп
Printer “%s” is low on toner.	Апринтер «%s» аҟны атонер  анҵәара иаҿуп
Printer “%s” is out of a marker supply.	Апринтер «%s» аҟны иԥштәылоу ашәыгаҭра нҵәеит
Printer “%s” is out of at least one marker supply.	Апринтер «%s» аҟны атонерқәа руак нҵәеит
Printer “%s” is out of developer.	Апринтер «%s» аҟны аарԥшыга нҵәеит
Printer “%s” is out of paper.	Апринтер «%s» аҟны ақьаад нҵәеит
Program Attributes	Апрграмма аҟазшьарбагақәа
Progress Bar Attributes	Анагӡара аиндикатор аҟазшьарбагақәа
Project "%s" has errors. Save anyway?	Апроект  «%s» аҟны иҟоуп агхақәа .Зегь акоуп еиқәырхатәума?
Project sidebar	Апроект аваратәи апанель
Project _Website	Веб-асаит _апроекта
Proximity Out	Иааигәаны
Quit mode	Арежим аҟынтә аҭыҵра  
Quit	Аҭыҵра
Revocation list signature	Анапаҵыҩрақәа рыхьӡынҵа  аԥыхра 
RF kill	Rf kill
RGB unit	Аидкыла RGB
right	Арӷьарахь
Right	Арӷьарахь
Roll all!	Зегьы аршәра!
Roll the dice	Аҟамаҭелқәа рыршәра
Roll	Аршәра
Roll!	Аршәра!
_Safely Remove Drive	_Ишәарҭамкәа аиҿартәыра алхра
_Safely Remove Drive	_Ишәарҭамкәа аусруга аныхра
Safely store a password or secret	Ишәарҭамкәа еиқәшәырха ажәамаӡа,мамзар амаӡа
Safe	Ишәарҭам
Sandbox escape	"аԥслымӡҭра" аҟынтә аҭыҵра
sans-serif %s	% аԥыҳәҳәақәа рыда
Sans	Аԥыҳәҳәақәа рыда
Scale Attributes	Аихшарба аҟазшьарбагақәа
Scale Button Attributes	Амасштабркра апытҟәыр аҟазшьарбагақәа
Scale Button	Агәҵәытә аихшарба
%s centuries	%s ашәышықәсақәа
Score	Акапан
_Script arguments	_Ақәныҟәа аҵаҵӷәқәа 
Scrollbar Attributes	Аҭаргьежьра апанель аҟазшьарбагақәа
Scrolled Window Attributes	Иҭаргьежьу аԥенџьыр аҟазшьарбагақәа
Scrolling Attributes	Аҭаргьежьра аҟазшьарбагақәа
Scroll_Lock	Scroll Lock
Search Base:	Аԥшаара абаза:
  Search for the Contact  or double-click here to create a new Contact.	Ишәыԥшаа аимадара , мамзар абраҟа шәақәыӷәӷәа аҿыц аԥҵаразы
  Search for the Contact.	Аимадара аԥшаара.
  Searching for the Contacts…	Аимадарақәа рыԥшаара...
Secondary click enabled	Аҩынтәтәи ақәыӷәӷәара аҿакуп
Secondary-Click	Аҩбатәи ақәыӷәӷәара
Secondary Icon Activatable	Аҩынтәтәи адырга иактивуп
Secondary Icon Pixbuf	Pixbuf аҩынтәтәи адырга 
Secondary Icon Sensitive	Аҩынтәтәи адырга анырра амоуп
Secondary Icon	Аҩынтәтәи  адырга
Secondary Stock Icon	Аҩынтәтәи  иҭаӡу адырга
Second Mouse Button	Аҳәынаԥ аҩбатәи  апытҟәыр
Se_cond zone:	Аҩбатәи_асааҭзона:
second	Аҩбатәи
Second	Аҩбатәи
Second:	Аҩбатәи алҵшәа:
Secure Boot disabled	Ишәарҭадароу аҭагалара аҿыхуп
Secure Boot enabled	Ишәарҭадароу аҭагалара аҿакуп
Secure Boot is Active	Ишәарҭадароу аҭагалара активуп
Secure Boot is Inactive	Ишәарҭадароу аҭагалара иактивым
Secure boot prevents malicious software from being loaded when the device starts.  For more information, contact the hardware manufacturer or IT support.	Ишәарҭадароу аҭагалара  аԥхасҭа ҟазҵо апрограмматә еиқәыршәарақәа рҭагалара  ԥнарҟәҟәоит  аиҿартәыра адәықәҵараан.  Иацҵаны аинформациа шәоурц азы амаруга аԥҵаҩы  ,мамзар ИТ -ацхыраара амаҵзура  шәрыдҵаала.
Secure boot	Ишәарҭадароу аҭагалара
Secure renegotiation is disabled	Ишәарҭам ҽазныктәи аиқәыршаҳаҭра  аҿыхуп
Secure Shell	Ишәарҭам ахарԥа
Sender Validation	Ашьҭҩы ивалидациа
Server Authentication	Асервер ахаҭареилкаара
%s has sent back the following assigned task response:	%s  ирхынҳәит анеҩстәи аҭак иарбоу адҵа ахь:
%s has sent back the following meeting response:	%s ирхынҳәит анеҩстәи аҭак аизара ахь:
%s Hotspot Active	Анеирҭа аҭыԥ  %s аҿакуп 
S_ick	И_чмазаҩу
Sidebar is visible	Иубарҭоу аваратәи апанель 
Side Bin	Аваратәи  аҭра
Side Bin	Аваратәи аҭра
Side by side	Еидгыланы
Similar	Аиԥш
%s is safe	«%s» ишәарҭам
slate gray	Ашифер цәыш аԥштәы
%s (library)	%s (абиблиотека)
<small>In memory of an extraordinary person and professor R.I.P Guido Macchi</small>	<small> Зеиԥш дҟамлац ауаҩԥси апрофессори игәаларшәара иазкны R.I.P. Гвидо Маки</small>
SMART _Attributes	Аҟазшьарбагақәа _SMART
<%s> must contain at least one <value>	 <%s> иамазароуп акы еиҳамзаргьы аҵакы <value>
[%s] Object class '<b>%s</b>' from %s %d.%d is deprecated 	Аобиект акласс '<b>%s</b>' %s %d.%d аҟынтә иажәхьеит
[%s] Object class '<b>%s</b>' was introduced in %s %d.%d 	[%s] Аобиект акласс '<b>%s</b>' ҭагалан %s %d.%d ахь
SOCKSv5 authentication failed due to wrong username or password.	Ахаҭареилкаара  SOCKSv5 хырқәшахеит иманшәаламкәа ахархәаҩ ииашам ихьыӡ мамзар иажәамаӡа амашала.
%s on chooser	%s алхраҟны
Sound & Video	Аудио насгьы авидео
[%s] Packing property '<b>%s</b>' of object class '<b>%s</b>' was introduced in %s %d.%d 	 [%s]«<b>%s</b>» архиара  аҷыдаҟазшьа  «<b>%s</b>» рыкласс иаҵанакуа аобиектқәа ҭагалан %s %d.%d ахь
Spin Button Attributes	Агьежьра апытҟәыр аҟазшьарбагақәа
spring green	Ааԥынтәи  аиаҵәара
[%s] Property '<b>%s</b>' of object class '<b>%s</b>' is deprecated 	[%s] Аҷыдаҟазшьа «<b>%s</b>» аобиект «<b>%s</b>» акласс  ажәит
[%s] Property '<b>%s</b>' of object class '<b>%s</b>' was introduced in %s %d.%d 	[%s]Аҷыдаҟазшьа «<b>%s</b>» аобиект «<b>%s</b>» акласс  иаҵанакуа ҭагалан %s %d.%d ахь
SRA4	SRA3
%s Run '%s --help' to see a full list of available command line options. 	%s  Аус ашәыруы  «%s --help» анеиразин ахьшәымоу адҵатә ҵәаҳәа  ахышәарақәа рыхҩылаақәа зегьы рыхәаԥшразы.
“%s”	«%s»
%s%s Encoding: %s %s	%s%s Акодркра: %s %s
%s%s Encoding: %s %s Substituting with <b>%s</b> (%s)	%s%s Акодркра: %s %s иԥсахуа  <b>%s</b> аҟынтә %s 
[%s] Signal '<b>%s</b>' of object class '<b>%s</b>' is deprecated 	«<b>%s</b>» асигнал   акласс иаҵанакуа аобиект «<b>%s</b>» ажәуп
[%s] Signal '<b>%s</b>' of object class '<b>%s</b>' was introduced in %s %d.%d 	[%s] «<b>%s</b>» асигнал   акласс иаҵанакуа аобиект «<b>%s</b>»ҭагалан %s %d.%d ахь
%s %s is no longer supported.	%s %s  уаҳа  иаднакылом
"%s": %s	«%s»: %s
%s,%s	%s, %s
%s: "%s"	%s: «%s»
%s,%s,%s	%s, %s, %s
Stack Attributes	Аиқәҵа аҟазшьарбагақәа
Stack Sidebar	Аиқәҵа аваратәи апанель 
Stack Switcher Attributes	Аиқәҵа аиагага аҟазшьарбагақәа
Start of Authority	Start of Authority (SOA)
Style Variant	Астиль авариант
Successfully checked out branch to working directory	Амахә иманшәаланы еиҭагоу аусуратә аизакхьӡынҵ ахь
_Suggestions:	_Авариантқәа:
Suggestions	Авариантқәа
Sum of the Years Digits Depreciation	Амортизациа Аицҵалыҵ-Ашықәсқәа-Аԥхьаӡацқәа
Sum-of-the-Years’-Digits Depreciation	Амортизациа Аицҵалыҵ-Ашықәсқәа-Аԥхьаӡацқәа
Sun	Амҽ
superscript 0	Хыхьтәи аиндекс 0
superscript 1	Хыхьтәи аиндекс акы
superscript 2	Хыхьтәи аиндекс ҩба
superscript 3	Хыхьтәи аиндекс хԥа
superscript 4	Хыхьтәи аиндекс 4
superscript 5	Хыхьтәи аиндекс 5
superscript 6	Хыхьтәи аиндекс 6
superscript 7	Хыхьтәи аиндекс 7
superscript 8	Хыхьтәи аиндекс 8
superscript 9	Хыхьтәи аиндекс 9
superscript a	Хыхьтәи аиндекс а
superscript equals	Хыхьтәи аиндекс иҟалоит
superscript left paren	Хыхьтәи аиндекс ахыц аартра
superscript minus	Хыхьтәи аиндекс минус
superscript n	Хыхьтәи аиндекс n
superscript plus	Хыхьтәи аиндекс плиус
superscript right paren	Хыхьтәи аиндекс ахыц аркра
superscript %s	Хыхьтәи аиндекс %s
superscript	Хыхьтәи аиндекс 
super	Хыхьтәи аиндекс 
Su	Амҽ
Synopsis	Ахҳәаа
Sys_Req	Sys Req
S	Аҟны
S	Амҽ
Tab Attributes	Агәылаҵакәа рҟазшьарбагақәа
Take notes and export them everywhere.	Азгәаҭақәа аанкыланы иахьакәзаалак аекспортра рзура
Teleport _Safely	_Ишәарҭам ателепортациа
Temporarily Disabled Until Tomorrow	 Аамҭала уаҵәынӡа иаҿыхуп
_Temporarily trusted (this session only)	_ Аамҭала зыгәрагоу (уажәтәи асеанс заҵәык азы)
Temporarily unable to resolve “%s”	 Аамҭала  «%s» азин аҭара ауам
Temporarily	Аамҭала
Temporary cached data	Аамҭала икешрку адыррақәа
Temporary files	Аамҭалатәи афаилқәа
Text attributes	Атекст аҟазшьарбагақәа
Text Attributes	Атекст аҟазшьарбагақәа
text-top	атекст ахы
Text View Attributes	Атекст адгалара аҟазшьарбагақәа
The “--alternative-start”, “--random-start” and “--usual-start” arguments are mutually exclusive.	Аҵаҵӷәқәа "--alternative-start", "--random-start" , "--usual-start" иеиҿагылоит.
The attribute "%s" was found twice on the <%s> element	Аҟазшьарбага "%s" ҩынтәны иԥшаан ахәҭа <%s> аҟны
The “--classic” and “--reverse” arguments are mutually exclusive.	Аҵаҵӷәқәа --classic и --reverse иеиҿагылоит.
The cover is open on printer “%s”.	Апринтер «%s» аҟны ахҩа аартуп
The door is open on printer “%s”.	Апринтер «%s» аҟны ашә аартуп
The following recipients were not recognized as valid mail addresses: {0}	Анаҩстәи адкылаҩцәа рԥошьҭақәа риашашьа еилкаамхазеит : {0}
The following recipient was not recognized as a valid mail address: {0}	Анаҩстәи адкылаҩ иԥошьҭа аиашашьа еилкаамхазеит : {0}
The height of the assistant window.	Ацхырааҩ иԥенџьыр аҳаракыра
The height of the main window in pixels.	Ихадоу аԥенџьыр аҳаракыра пиксельла
The height of the main window.	Ихадоу аԥенџьыр аҳаракыра
The height of the video captured from the camera, in pixels	Акамера(пиксельла) аҟынтәи ишәоуз  авидео аҳаракыра
The height of the widget when toplevel in the GladeDesignLayout	Авиджет аҳаракыра  ихадоу аԥенџьыр GladeDesignLayout ианатәу
The height of the window	Аԥенџьыр аҳаракыра
the jack of clubs	валет треф
the jack of diamonds	валет бубен
the jack of hearts	Афурҭ агәыҟаԥшь
the jack of spades	валет пик
The --list-properties argument can only be empty when used with the --tree argument	Аҵаҵӷәы --list-properties иҭацәызар ҟалоит аҵаҵӷәы --tree заҵәык ахархәараан
Theme _variant:	_Атема авариант:
The pango attributes for this label	Аҟазшьарбагақәа pango  ари адырга азы
The profile has the following problems:	Аҷыдахәра иамоуп анаҩстәи  агхақәа
