иҳәеит  ауаҩы	сказал человек
 иара уаҵәҟьа	Там же 
арҭ абацои	Куда они идут
Иҟалазеи?	Что случилось?
Иԥсыда?	Кто умер?
аҭакәажә	Старуха 
лыхцәы 	Ее волосы 
гәыԥҳәыхшла дзааӡаз ианаӡӡеи	вскормившая его своим грудным молоком молочная мать 
Адагәа-иԥа Ҳаџьы Бырзықь иԥшәма	жена Хаджи Берзека, сына Адагвы.
Аҳ Ҳамыҭбеи ианаӡӡеи дшаагәеиҭазҵәҟьа	князь Хамутбей как только заметил свою молочную мать 
иҳәан	Сказал 
санаӡӡеи аҳкәажә, иҟалазеи?	Моя молочная мать княжна, что случилось? 
Аҭакәажә, аԥсы дихатәазшәа	Старуха, словно сидела  у изголовья покойника
Лааӡамҭа 	Ее воспитанник 
лыбла	Ее глаза 
уабатәида	Откуда ты
сара усыздырӡом	Я тебя не знаю 
 иуаҳахьоума?	Слышал ли ты? 
Гәыԥҳәыхшла исааӡаз	вскормленный моей грудью
Ҳамыҭбеи дыԥсит	Хамутбей умер 
аха дышԥаԥси	Но как умер 
Аублаақәа дырцәыӡит рыхәԥҳа хазына. 	Убыхи потеряли своего молочного брата.
Аԥсуаагьы дырцәыӡит раҳ изықәгәыӷуаз!	И абхазцы потеряли своего князя, на которого надеялись ! 
ҭаҷкәымла лхы дасуа	ударяя кулаками в голову
иара ибзыцәаҳәшьа 	Его молочная сестра 
О, ишԥалури убзыцәаҳәшьа, Ҳамыҭбеи?	О, что ей делать, твоей молочной сестре, Хамутбей?
Узааӡаз аублаақәа	Воспитавшие тебя убыхи 
Уԥсит	Ты умер 
аха ушԥаԥси	Но как умер 
 иахьа.	Сегодня. 
Ҳаџьы Кьарантыхә	Хаджи Керантух
бзыцәашьак иеиԥш акәым, аӷа иеиԥш диԥылеит	его встретил не как молочного брата, а как врага.
– Бҵәыуала, санаӡӡеи	– Плачь, моя молочная мать
шәҵәыуала, сыбзыцәаҳәшьцәа!	Плачьте, мои молочные сестры!
Шәааӡамҭа, саргьы сшәыцҵәыуоит!	Я, ваш воспитанник, плачу вместе с вами!
Ушьҭан шәахьымӡар ҳәа сшәоит!	Потом боюсь, не успеете !
Уаҳа иҟам	Больше нет
АЛОУ -ИԤА ШЬАРДЫН	Шардын, сын Алоу
Ҳҭаацәа зегьы рзы имыждеиқәаҵәахаз уи амш аҽны	В тот день, который стал кошмарным для нашей семьи 
аибашьрахь иҟаз сашьа еиҵбы Мата ида	кроме моего младшего брата Маты, который был  на войне 
аҭаацәа зегьы аҩны ҳаиқәшәаны ҳаҟан	вся семья была дома
Уи аурысцәа дырҿагыланы рабашьра даҿын	Он воевал  с русскими
 иаҳмаҳацызт.	Мы не слышали. 
аҩны 	Дом
Ашьыжь	Утро
иԥсахит	Поменял 
ахьаа	Боль
Саб Ҳамырза хымш раԥхьа иарӷьа напы ахы ақәшәан	Три дня назад в правую руку моего отца Хамирзы попала пуля 
аҩны иааин	Пришли домой 
Сани саҳәшьцәа аҩыџьеи агәылара ҩнарҭак аҿы	Моя мать и обе мои сестры в соседнем доме 
аҳабла ҳәсақәа	женщины  поселка
иацоуп ҳаныхынҳә	Мы вернулись вчера 
уажәы	Сейчас 
аизарахьынтәи	С собрания 
Кьарантыхә сицны	Вместе с Керантухом 
Ӡнын	Была зима 
Амш шьыбжьышьҭахьрахь инеихьан	день уже клонился к вечеру
еимагыланы илеиуаз асы аахкәеит	снег, густо падавший, сейчас перестал идти
игәыжь лаҟә дақәтәаны санду лааӡамҭа	Сидя на своем низкорослом муле воспитанник моей бабушки
Алоу-иԥа Шьардын.	Шардын сын Алоу.
– Ухәра шԥаҟоу, сыбзыцәашьа?	– Как твоя рана, мой молочный брат?
– дҵааит асас, саб данааидгыла.	– спросил гость, когда он подошел к моему отцу. 
– Ибаргу егьсымам, ухаҵкы сцеит Шьардын! – иҳәеит сабгьы, хьаак змаӡамыз иеиԥш дыххаччо, игәыдҳәалаз	– Не стоит говорить о ней, – ответил отец, признаться гостю в том, что его мучает боль, и
дацәыԥхашьаны	стесняясь
инапы ишьҭахьҟа иҵәахуа.	пряча  руку за спиной.
ҳгәыӷырҭа	наша надежда
Уи лышьҭахь игылаз саҳәшьцәагьы, иԥхашьаԥхаҵо, сан идлырбаз ныҟарҵеит.	Мои сестры, которые стояли за ней,  смущаясь, сделали то, что наша мама показала. 
Ҳахәԥҳа ҳишьҭагыланы зегьы аҩны ҳааҩналт.	мы все вслед за нашим молочным братом зашли в дом. 
иршәшәаны аҭӡаҿы иныкнасҳаит.	отряхнув, повесил на стену.
Алоу-иԥа Шьардын рацәак даумызт	Шардын, сын Алоу, был не очень высокий
Ҳарҭ аиҵбацәа 	Мы, младшие
усгьы	Итак 
аха сани саби, ҳахәԥҳа иаҵкыс қәрала ишеиҳабацәазгьы	но моя мать и мой отец, хотя они оба были старше нашего молочного брата 
Сан, ишыҟалҵац еиԥш, 	Моя мать, как она обычно делала, 
абӷьааҳәа	сразу же
 - Ушырхәыз здыруан	– Я знал, что тебя ранили 
ҭаацәашәала	Семейно 
саргьы бзиа сшыжәбо здыруеит.	Я знаю, что и меня вы любите. 
Аамҭа бааԥсык ҳҭагылеит	Наступило тяжелое времена 
Абас ацәажәара даҿын Алоу-иԥа Шьардын	Так говорил Шардын, сын Алоу 
абжьааԥны еиԥш акәымкәа	Не так, как обычно 
иҳаиҳәарызеи?	Что он нам скажет ? 
ари ақыҭа зегьы	Вся эта деревня 
ҳашҭаҿы 	В нашем дворе 
Абри еиԥш амыҟәмабара аамҭазы 	в такое беспокойное время
аҭуџьарцәа Ҭырқәтәылантәи изааргалон	ему привозили из  Турции купцы.
 – Ишыжәдыруа еиԥш	- Как вы знаете 
аха макьана	Но пока 
Уаҵәы	Завтра
Уажәы хаҭала сара сгәаанагароуп ишәасҳәо	Сейчас я говорю вам свое мнение 
аҳәынҭқар иеинралцәа араҟа уаҳа нхашьа ҳарҭом, ижәбоит	генералы царя не дадут нам больше жить здесь, вы видите 
амца 	Огонь 
Аԥса ҳахаԥсыр аҵкыс	Прежде чем всех нас проткнут штыками,
еиӷьӡами ҳаԥсы еиқәҳархар?	не лучше ли спастись?
Аллаҳҭаала изаҵәу аҭырқә сулҭан ду ҳрыцҳаишьоит, ҳхы имаадар,	Турецкий султан, наместник Аллаха на земле, пожалеет нас, если мы примем его подданство, 
Жәаха Сҭампылнтәи иааз ҭырқәа ҭуџьарк дысҭан. 	Позавчера ночью у меня гостил турецкий купец, который прибыл из  Стамбула.
иареи сареи ҳаибадыруеижьҭеи акрааҵуеит	Он и я давно знакомы 
ҳагәра еибагоит	Доверяем друг другу 
амал ду импыҵаку адагьы	Он не только богат
ахәаахәҭра мацара азыҳәан акәымхаргьы ҟалап ҳара ҳашҟа дзыӡхыҵыз.	Наверное он приехал к нам не только за тем, чтобы,  торговать
мраҭашәарахьтәи ҳгәылацәа 	Западные соседи 
Асулҭан иажәа дамеижьеит	Султан сдержал слово
Џьанаҭ ада	Кроме Рая 
уи адгьыл	Эта земля 
акы иузадкыло иҟам	Ни с чем не сравнить 
ишоурам	Не жарко 
ихьҭам	Не холодно 
есымша ааԥынроуп	Всегда весна 
Аа, иаргьы ахьыҟоу! 	Вот и оно!
аха иаԥхьагәышьодаз	Но кто бы прочитал 
нбан здыруаз	Кто знал буквы 
ҳара аҭаацәа уаҳҟәаҵ	Нас, семью, оставь 
ҳқыҭа зегь 	Вся наша деревня 
аӡәгьы дуԥыхьашәомызт.	Никого не встретил бы 
Иара ҳахәԥҳа ихаҭагьы аарла-аарлаҳәа акәын дшаԥхьоз.	и наш молочный брат сам еле-еле читал
 уи ауаҩ	Этот человек 
абас ихы иҭҳәааны изыҩрызу?	Он смог бы такое сочинить ?
Ҳзижьарызеи ҳара иашьцәа?	Зачем ему нас обманывать , его братьев? 
аԥсҭазаара	Жизнь 
удыруазааит	Знай 
арахь	Сюда 
Абас инҵәоит сыуа бзиа Мураҭ исалам шәҟәы.	Вот так заканчивает письмо моего хорошего родственника Мурата. 
Унапаҵаҟа иҟоу ауаа уманы	если ты с подвластными тебе людьми 
Абар Мураҭ ииҩуа	Вот, что пишет Мурат
Иаҳзыԥшузеи	Что нас ждет 
ацхыраарагьы ҳарҭоит	И помощь окажут 
Ҟәбина	Кубань 
Амҵ реиԥш ҳанҵәараны ҳаҟоуп!	как мухи погибнем!
Ара абна ҳшагәылатәоугьы ахьҭа ҳакуеит	Мы и здесь, среди лесов, мерзнем 
ҳдингьы	И наша вера 
Насгьы ишәаҳахьазар акәхап	Также, вы , наверное, слышали 
Урыстәыла	Россия 
анхацәа зегьы адгьыл аахәара рықәшәеит.	Всем крестьянам пришлось покупать земли. 
уа ҳаннеи	Когда придем туда 
ҳаҷкәынцәагьы солдаҭра иргалашт	И мальчиков наших возьмут в солдаты
ҳара ҳанхаҩы илшома нас, адгьыл аахәара?	Сможет ли наш крестьянин купить землю? 
Нас дгьылда анхаҩы ԥсҭазашьас имоузеи?	Как будет жить крестьянин без земли? 
Уареи сареи, ӷрак ҳаицҭымшааит, аха гәыԥҳәык ауп ҳзааӡаз	мы рождены с тобой не из одной утробы, но вскормлены одной грудью
иашоуп	Правильно 
сыбзыцәашьа бзиахә Ҳамырза!	Мой молочный брат Хамирза!
иуасҳәаз уаҳаит	Ты услышал, что я сказал тебе 
уажәшьҭа уара сузыӡырҩырц сҭахуп!	Теперь я хочу тебя послушать! 
Саб, аҵла ҩа еиԥш дҩанҭхьӡа дгылан	мой отец стоял, как засохшее дерево
инапы ихәыз егьи изнапык аҵыргәаны икын.	придерживая другой рукой раненую руку. 
ҭынчран	Было тихо 
иажәа	Его слово 
аӡын агәҭан	посреди зимы 
Уи акәхап сабгьы лассаамҭа иҿы зизеихымхуаз.	Наверное поэтому мой отец долго не мог раскрыть рта 
ахшыҩ 	Ум
Сыхәԥҳа	Мой молочный брат 
сгәыӷырҭа ду	Моя большая надежда 
Нас, дмыццакыкәа, дналагеит	Потом не спеша начал 
умаҵ аура	Служить тебе
Уара уахьцалак сҭаацәеи сареи ҳуцуп	Куда бы ты ни поехал, я и моя семья  будем с тобой 
Уаҳа иуасҳәагәышьозеи, цәаӷәареи рашәареи рыда акгьы ззымдыруа сара анхаҩы шьҭаха.	Что еще могу сказать тебе я,  крестьянин, который кроме того, что  пахать и сеять больше ничего не знает? 
аублаақәа зегьы рзы 	Для всех убыхов
Амала, сыхәԥҳа, гәыбӷан сумҭан сахьуазҵаауа	Но, мой молочный брат, извини , что спрашиваю 
 маҷк 	Немного 
Аублаақәа зегь ртәы саламцәажәеит	Я не говорил за всех убыхов 
сара схатә гәаанагара ауп ишәасҳәаз	Я сказал вам свое мнение 
изасҳәазгьы сгәакьацәа шәоуп!	И кому я это сказал, вам, моим близким! 
аҭак ҟаиҵеит Алоу-иԥа Шьардын	Ответил Шардын, сын Алоу 
сыхәԥҳа, сгәыӷырҭа! – деиҭаналагеит саб Ҳамырза.	Мой молочный брат, моя надежда! - опять начал мой отец Хамирза. 

